Date	Month	Channel	Owner	Zone	Sales Value	Cost of Sales	Price	Gross Profit	Indirect Costs	Operating Profit
1/2/2015	15-Jan	SINGLE FAMILY	3717  VALLEY RIDGE DR 	1		162000	162			No
1/2/2015	15-Jan	SINGLE FAMILY	4912  MONTCLAIR DR 	1		200000	200			No
1/2/2015	15-Jan	SINGLE FAMILY	704  BRADFORD HILLS CV 	1		212000	212			No
1/2/2015	15-Jan	SINGLE FAMILY	6630  SUNNYWOOD DR 	1		239900	239.9			No
1/2/2015	15-Jan	SINGLE FAMILY	6745  SUNNYWOOD DR 	1		209900	209.9			No
1/2/2015	15-Jan	SINGLE FAMILY	1210  HAWKINS ST 	2		270000	270			No
1/2/2015	15-Jan	SINGLE FAMILY	2722  SHARONDALE CT 	2		358250	358.25			No
1/2/2015	15-Jan	SINGLE FAMILY	909  OAK VALLEY LN 	2		550000	550			No
1/2/2015	15-Jan	SINGLE FAMILY	9  AGINCOURT WAY 	2		1550000	1550			No
1/2/2015	15-Jan	SINGLE FAMILY	4606  ILLINOIS AVE 	3		270120	270.12			No
1/2/2015	15-Jan	SINGLE FAMILY	44  TWIN ST 	3		60000	60			No
1/2/2015	15-Jan	SINGLE FAMILY	8257  BOONE TRCE 	3		190000	190			No
1/2/2015	15-Jan	SINGLE FAMILY	3305  COCOA DR 	4		67000	67			No
1/2/2015	15-Jan	SINGLE FAMILY	3809  NORTHBROOK DR 	5		126200	126.2			No
1/2/2015	15-Jan	SINGLE FAMILY	2221  THISTLEWOOD AVE 	6		143000	143			No
1/2/2015	15-Jan	SINGLE FAMILY	1603  DOUGLAS AVE 	6		301640	301.64			No
1/2/2015	15-Jan	SINGLE FAMILY	1207  CLARKE ST 	7		164000	164			No
1/2/2015	15-Jan	SINGLE FAMILY	699  FRANKFORT DR 	7		170000	170			No
1/2/2015	15-Jan	SINGLE FAMILY	4324  VALLEY GROVE DR 	7		127000	127			No
1/2/2015	15-Jan	SINGLE FAMILY	6186  N NEW HOPE RD 	7		203000	203			No
1/2/2015	15-Jan	SINGLE FAMILY	815  CARLYLE PL 	8		90000	90			No
1/2/2015	15-Jan	SINGLE FAMILY	3929  CALUMET DR 	8		136500	136.5			No
1/2/2015	15-Jan	SINGLE FAMILY	1019  11TH AVE N 	9		95000	95			No
1/4/2015	15-Jan	SINGLE FAMILY	4913  KENTUCKY AVE 	3		200000	200			No
1/5/2015	15-Jan	SINGLE FAMILY	5148  VILLAGE TRCE 	1		164900	164.9			No
1/5/2015	15-Jan	SINGLE FAMILY	4736  POTOMAC LN 	1		315000	315			No
1/5/2015	15-Jan	SINGLE FAMILY	3201  COBBLE ST 	1		230000	230			No
1/5/2015	15-Jan	SINGLE FAMILY	205  NEWTON NOOK 	1		356500	356.5			No
1/5/2015	15-Jan	SINGLE FAMILY	2313  SOMERSET VALLEY DR 	1		229000	229			No
1/5/2015	15-Jan	SINGLE FAMILY	6996  CALDERWOOD DR 	1		208250	208.25			No
1/5/2015	15-Jan	SINGLE FAMILY	827 HILLVIEW HTS 	2		339500	339.5			No
1/5/2015	15-Jan	SINGLE FAMILY	824  KIRKWOOD AVE 	2		615000	615			No
1/5/2015	15-Jan	SINGLE FAMILY	6521  JOCELYN HOLLOW RD 	2		539000	539			No
1/5/2015	15-Jan	SINGLE FAMILY	1001  BEECH BEND DR 	2		189000	189			No
1/5/2015	15-Jan	SINGLE FAMILY	693  PARK ST 	3		209000	209			No
1/5/2015	15-Jan	SINGLE FAMILY	6015 CALIFORNIA AVE 	3		130000	130			No
1/5/2015	15-Jan	SINGLE FAMILY	6013 CALIFORNIA AVE 	3		130000	130			No
1/5/2015	15-Jan	SINGLE FAMILY	5510  PENNSYLVANIA AVE 	3		80000	80			No
1/5/2015	15-Jan	SINGLE FAMILY	7529  WATERVALE DR 	3		285000	285			No
1/5/2015	15-Jan	SINGLE FAMILY	1204  CREST MONT CT 	5		274000	274			No
1/5/2015	15-Jan	SINGLE FAMILY	3795  WILLOW CREEK RD 	5		152500	152.5			No
1/5/2015	15-Jan	SINGLE FAMILY	707  DELAWARE AVE 	6		120000	120			No
1/5/2015	15-Jan	SINGLE FAMILY	718  CARMEL AVE 	6		55000	55			No
1/5/2015	15-Jan	SINGLE FAMILY	2911  MORNINGSIDE DR 	6		140000	140			No
1/5/2015	15-Jan	SINGLE FAMILY	1517  MOHAWK TRL 	6		110000	110			No
1/5/2015	15-Jan	SINGLE FAMILY	1519  WAYNE DR 	6		167500	167.5			No
1/5/2015	15-Jan	SINGLE FAMILY	1905  DEMARIUS DR 	6		207500	207.5			No
1/5/2015	15-Jan	SINGLE FAMILY	1415  PRESTON DR 	6		154500	154.5			No
1/5/2015	15-Jan	SINGLE FAMILY	1414  ORDWAY PL 	6		270580	270.58			No
1/5/2015	15-Jan	SINGLE FAMILY	1003  DEW ST 	6		375000	375			No
1/5/2015	15-Jan	SINGLE FAMILY	4529  HAWTHORN DR 	7		200000	200			No
1/5/2015	15-Jan	SINGLE FAMILY	2219  PENNINGTON BEND RD 	7		332613	332.613			No
1/5/2015	15-Jan	SINGLE FAMILY	4108  MEADOWGREEN DR 	7		169000	169			No
1/5/2015	15-Jan	SINGLE FAMILY	404  LORNA DR 	7		132000	132			No
1/5/2015	15-Jan	SINGLE FAMILY	1212  CANYON RIDGE CT 	8		172940	172.94			No
1/5/2015	15-Jan	SINGLE FAMILY	5128  PEBBLE CREEK DR 	8		157000	157			No
1/5/2015	15-Jan	SINGLE FAMILY	2704  WINDCREST TRL 	8		154000	154			No
1/5/2015	15-Jan	SINGLE FAMILY	4121  PINEORCHARD PL 	8		172000	172			No
1/6/2015	15-Jan	SINGLE FAMILY	114  ROSE ST 	1		183572	183.572			No
1/6/2015	15-Jan	SINGLE FAMILY	3808  BUNNY DR 	1		138000	138			No
1/6/2015	15-Jan	SINGLE FAMILY	5622  VALLEY VIEW RD 	1		323500	323.5			No
1/6/2015	15-Jan	SINGLE FAMILY	5108  META CT 	1		204000	204			No
1/6/2015	15-Jan	SINGLE FAMILY	4951  KAREN RAY DR 	1		127900	127.9			No
1/6/2015	15-Jan	SINGLE FAMILY	1505  SIMPSON CT 	1		378000	378			No
1/6/2015	15-Jan	SINGLE FAMILY	804  NEARTOP DR 	2		290000	290			No
1/6/2015	15-Jan	SINGLE FAMILY	5608  KENTUCKY AVE 	3		85000	85			No
1/6/2015	15-Jan	SINGLE FAMILY	5308  PENNSYLVANIA AVE 	3		137500	137.5			No
1/6/2015	15-Jan	SINGLE FAMILY	7045  BRIDGEPORT DR 	3		225000	225			No
1/6/2015	15-Jan	SINGLE FAMILY	7336  RIVERFRONT DR 	3		330000	330			No
1/6/2015	15-Jan	SINGLE FAMILY	816  BERWICK TRL 	6		280000	280			No
1/6/2015	15-Jan	SINGLE FAMILY	917  SHARPE AVE 	6		95252	95.252			No
1/6/2015	15-Jan	SINGLE FAMILY	2636  HIBBITTS RD 	7		151965	151.965			No
1/6/2015	15-Jan	SINGLE FAMILY	2715  LAKELAND DR 	7		150000	150			No
1/6/2015	15-Jan	SINGLE FAMILY	763  FITZPATRICK RD 	8		265000	265			No
1/6/2015	15-Jan	SINGLE FAMILY	308  SCHOOLHOUSE CT 	8		161000	161			No
1/6/2015	15-Jan	SINGLE FAMILY	309  SCHOOLHOUSE CT 	8		137000	137			No
1/7/2015	15-Jan	SINGLE FAMILY	104  PAXTON CT 	1		390000	390			No
1/7/2015	15-Jan	SINGLE FAMILY	6447  SUNNYWOOD DR 	1		215000	215			No
1/7/2015	15-Jan	SINGLE FAMILY	960  MORNING RD 	1		217272	217.272			No
