Zone	Parcel ID	Land Use	Property Address	Suite/ Condo   #	Property City	Sale Date	Sale Month	Month	Sale Day	sale year	date	value	Sale Group	Legal Reference	Sold As Vacant	Multiple Parcels Involved in Sale
1	133 07 0 278.00	SINGLE FAMILY	3717  VALLEY RIDGE DR		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	162000		20150106-0001272	No	No
1	146 08 0 165.00	SINGLE FAMILY	4912  MONTCLAIR DR		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	200000		20150109-0002637	No	No
1	161 15 0B 013.00	RESIDENTIAL CONDO	524  SWISS AVE		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	167900		20150105-0000617	No	No
1	171 03 0B 173.00	RESIDENTIAL CONDO	111  CARRIAGE CT		BRENTWOOD	1/2/2015	1	Jan	2	2015	1/2/2015	236000		20150106-0001287	No	No
1	172 12 0A 033.00	SINGLE FAMILY	704  BRADFORD HILLS CV		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	212000		20150107-0001743	No	No
1	181 01 0B 306.00	SINGLE FAMILY	6630  SUNNYWOOD DR		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	239900		20150105-0000530	No	No
1	181 02 0B 001.00	SINGLE FAMILY	6745  SUNNYWOOD DR		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	209900		20150102-0000019	No	No
2	093 13 0 298.00	SINGLE FAMILY	1210  HAWKINS ST		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	270000		20150105-0000930	No	No
2	104 05 0L 001.00	RESIDENTIAL CONDO	513  ACKLEN PARK DR		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	344900		20150106-0001409	No	No
2	104 11 0G 007.00	RESIDENTIAL CONDO	2139 G  ACKLEN AVE		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	243000		20150105-0000608	No	No
2	116 03 0B 154.00	RESIDENTIAL CONDO	4505  HARDING PIKE	154	NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	135000		20150105-0000963	No	No
2	116 03 0B 157.00	RESIDENTIAL CONDO	4505  HARDING PIKE	157	NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	138000		20150105-0000723	No	No
2	117 03 0 076.00	SINGLE FAMILY	2722  SHARONDALE CT		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	358250		20150105-0000492	No	No
2	117 08 0 240.00	DUPLEX	1234  BATTLEFIELD DR		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	320000		20150105-0000627	No	No
2	142 09 0E 007.00	RESIDENTIAL CONDO	1207  GENERAL GEORGE PATTON RD		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	170000		20150107-0001759	No	No
2	146 01 0 011.00	SINGLE FAMILY	909  OAK VALLEY LN		NASHVILLE	1/2/2015	1	Jan	2	2015	1/2/2015	550000		20150109-0002465	No	No
