Date	Month	Channel	Owner	Brand	Pack Size	Pack Type	SKU	Price Tier	Unit Sales	Sales Value	Distribution	Cost of Sales	Price	Gross Profit	Indirect Costs	Operating Profit	Unit Sales Monthly Change	Sales Value Monthly Change	Distribution Monthly Change	Cost of Sales Monthly Change	Price Monthly Change	Gross Profit Monthly Change	Indirect Costs Monthly Change	Operating Profit Monthly Change
1/2/2015	Jan-15	3717  VALLEY RIDGE DR	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	162	2015	1	162000	162	20150106-0001272	No	No	0.162							
1/2/2015	Jan-15	4912  MONTCLAIR DR	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	200	2015	1	200000	200	20150109-0002637	No	No	0.2							
1/2/2015	Jan-15	524  SWISS AVE	RESIDENTIAL CONDO		NASHVILLE	1/2/2015	1	Jan	167.9	2015	1	167900	167.9	20150105-0000617	No	No	0.1679							
1/2/2015	Jan-15	111  CARRIAGE CT	RESIDENTIAL CONDO		BRENTWOOD	1/2/2015	1	Jan	236	2015	1	236000	236	20150106-0001287	No	No	0.236							
1/2/2015	Jan-15	704  BRADFORD HILLS CV	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	212	2015	1	212000	212	20150107-0001743	No	No	0.212							
1/2/2015	Jan-15	6630  SUNNYWOOD DR	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	239.9	2015	1	239900	239.9	20150105-0000530	No	No	0.2399							
1/2/2015	Jan-15	6745  SUNNYWOOD DR	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	209.9	2015	1	209900	209.9	20150102-0000019	No	No	0.2099							
1/2/2015	Jan-15	1210  HAWKINS ST	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	270	2015	2	270000	270	20150105-0000930	No	No	0.27							
1/2/2015	Jan-15	513  ACKLEN PARK DR	RESIDENTIAL CONDO		NASHVILLE	1/2/2015	1	Jan	344.9	2015	2	344900	344.9	20150106-0001409	No	No	0.3449							
1/2/2015	Jan-15	2139 G  ACKLEN AVE	RESIDENTIAL CONDO		NASHVILLE	1/2/2015	1	Jan	243	2015	2	243000	243	20150105-0000608	No	No	0.243							
1/2/2015	Jan-15	4505  HARDING PIKE	RESIDENTIAL CONDO	154	NASHVILLE	1/2/2015	1	Jan	135	2015	2	135000	135	20150105-0000963	No	No	0.135							
1/2/2015	Jan-15	4505  HARDING PIKE	RESIDENTIAL CONDO	157	NASHVILLE	1/2/2015	1	Jan	138	2015	2	138000	138	20150105-0000723	No	No	0.138							
1/2/2015	Jan-15	2722  SHARONDALE CT	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	358.25	2015	2	358250	358.25	20150105-0000492	No	No	0.35825							
1/2/2015	Jan-15	1234  BATTLEFIELD DR	DUPLEX		NASHVILLE	1/2/2015	1	Jan	320	2015	2	320000	320	20150105-0000627	No	No	0.32							
1/2/2015	Jan-15	1207  GENERAL GEORGE PATTON RD	RESIDENTIAL CONDO		NASHVILLE	1/2/2015	1	Jan	170	2015	2	170000	170	20150107-0001759	No	No	0.17							
1/2/2015	Jan-15	909  OAK VALLEY LN	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	550	2015	2	550000	550	20150109-0002465	No	No	0.55							
1/2/2015	Jan-15	9  AGINCOURT WAY	SINGLE FAMILY		BRENTWOOD	1/2/2015	1	Jan	1550	2015	2	1550000	1550	20150105-0000973	No	No	1.55							
1/2/2015	Jan-15	4606  ILLINOIS AVE	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	270.12	2015	3	270120	270.12	20150105-0001013	No	No	0.27012							
1/2/2015	Jan-15	44  TWIN ST	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	60	2015	3	60000	60	20150105-0000802	No	No	0.06							
1/2/2015	Jan-15	8257  BOONE TRCE	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	190	2015	3	190000	190	20150106-0001302	No	No	0.19							
1/2/2015	Jan-15	3305  COCOA DR	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	67	2015	4	67000	67	20150106-0001400	No	No	0.067							
1/2/2015	Jan-15	3809  NORTHBROOK DR	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	126.2	2015	5	126200	126.2	20150108-0002150	No	No	0.1262							
1/2/2015	Jan-15	2221  THISTLEWOOD AVE	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	143	2015	6	143000	143	20150109-0002345	No	No	0.143							
1/2/2015	Jan-15	1603  DOUGLAS AVE	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	301.64	2015	6	301640	301.64	20150107-0001765	No	No	0.30164							
1/2/2015	Jan-15	1207  CLARKE ST	SINGLE FAMILY		OLD HICKORY	1/2/2015	1	Jan	164	2015	7	164000	164	20150105-0001016	No	No	0.164							
1/2/2015	Jan-15	4414  S TRACE BLVD	RESIDENTIAL CONDO		OLD HICKORY	1/2/2015	1	Jan	112.5	2015	7	112500	112.5	20150107-0001604	No	No	0.1125							
1/2/2015	Jan-15	705  LAUREL HILL DR	RESIDENTIAL CONDO		OLD HICKORY	1/2/2015	1	Jan	99.5	2015	7	99500	99.5	20150106-0001250	No	No	0.0995							
1/2/2015	Jan-15	699  FRANKFORT DR	SINGLE FAMILY		HERMITAGE	1/2/2015	1	Jan	170	2015	7	170000	170	20150106-0001276	No	No	0.17							
1/2/2015	Jan-15	4324  VALLEY GROVE DR	SINGLE FAMILY		HERMITAGE	1/2/2015	1	Jan	127	2015	7	127000	127	20150105-0000786	No	No	0.127							
1/2/2015	Jan-15	6186  N NEW HOPE RD	SINGLE FAMILY		HERMITAGE	1/2/2015	1	Jan	203	2015	7	203000	203	20150109-0002539	No	No	0.203							
1/2/2015	Jan-15	1146  CHICKADEE CIR	RESIDENTIAL CONDO		HERMITAGE	1/2/2015	1	Jan	302.294	2015	8	302294	302.294	20150105-0000794	No	No	0.302294							
1/2/2015	Jan-15	815  CARLYLE PL	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	90	2015	8	90000	90	20150106-0001238	No	No	0.09							
1/2/2015	Jan-15	231  BUCK RUN DR	RESIDENTIAL CONDO		NASHVILLE	1/2/2015	1	Jan	121	2015	8	121000	121	20150116-0004682	No	No	0.121							
1/2/2015	Jan-15	3929  CALUMET DR	SINGLE FAMILY		ANTIOCH	1/2/2015	1	Jan	136.5	2015	8	136500	136.5	20150105-0000842	No	No	0.1365							
1/2/2015	Jan-15	1019  11TH AVE N	SINGLE FAMILY		NASHVILLE	1/2/2015	1	Jan	95	2015	9	95000	95	20150107-0001545	Yes	No	0.095							
1/2/2015	Jan-15	500  MADISON ST	RESIDENTIAL CONDO	106	NASHVILLE	1/2/2015	1	Jan	286.995	2015	9	286995	286.995	20150120-0005637	No	No	0.286995							
1/2/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1213	NASHVILLE	1/2/2015	1	Jan	516.55	2015	9	516550	516.55	20150105-0001007	No	No	0.51655							
1/2/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1302	NASHVILLE	1/2/2015	1	Jan	798	2015	9	798000	798	20150105-0001017	No	No	0.798							
1/2/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1502	NASHVILLE	1/2/2015	1	Jan	810	2015	9	810000	810	20150102-0000449	No	No	0.81							
1/2/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1604	NASHVILLE	1/2/2015	1	Jan	659.57	2015	9	659570	659.57	20150105-0001018	No	No	0.65957							
1/2/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	1613	NASHVILLE	1/2/2015	1	Jan	536	2015	9	536000	536	20150105-0001005	No	No	0.536							
1/2/2015	Jan-15	1212  LAUREL ST	RESIDENTIAL CONDO	2307	NASHVILLE	1/2/2015	1	Jan	1349.13	2015	9	1349130	1349.13	20150127-0007830	No	No	1.34913							
